split,stage,metric,value
train,before,accuracy,0.8474734872114785
train,before,balanced_accuracy,0.8470439070727376
train,before,macro_f1,0.8455338821160389
train,before,log_loss,0.3875840035069096
train,before,brier_multiclass,0.22061996490817867
train,before,ece_15bin,0.05908857423089401
train,before,top1_prob_mean,0.7890245914459229
train,before,top1_prob_p25,0.6414549648761749
train,before,top1_prob_p50,0.8337118327617645
train,before,top1_prob_p75,0.9579232484102249
train,before,top1_top2_margin_mean,0.6210358142852783
train,before,predictive_entropy_mean,0.5089796781539917
train,before,n,6412.0
train,after,accuracy,0.8474734872114785
train,after,balanced_accuracy,0.8470439070727376
train,after,macro_f1,0.8455338821160389
train,after,log_loss,0.62256861223119
train,after,brier_multiclass,0.32358000545784715
train,after,ece_15bin,0.25981649375536336
train,after,top1_prob_mean,0.5876569747924805
train,after,top1_prob_p25,0.46812982112169266
train,after,top1_prob_p50,0.5698383748531342
train,after,top1_prob_p75,0.7068534195423126
train,after,top1_top2_margin_mean,0.34073248505592346
train,after,predictive_entropy_mean,1.0264613628387451
train,after,n,6412.0
val,before,accuracy,0.5605849582172702
val,before,balanced_accuracy,0.5602777538478422
val,before,macro_f1,0.5553122881900717
val,before,log_loss,1.4014331481998872
val,before,brier_multiclass,0.6253197757107938
val,before,ece_15bin,0.1849606245299568
val,before,top1_prob_mean,0.7425640821456909
val,before,top1_prob_p25,0.5747040659189224
val,before,top1_prob_p50,0.7536595165729523
val,before,top1_prob_p75,0.9319237619638443
val,before,top1_top2_margin_mean,0.5470158457756042
val,before,predictive_entropy_mean,0.6033501029014587
val,before,n,1436.0
val,after,accuracy,0.5605849582172702
val,after,balanced_accuracy,0.5602777538478422
val,after,macro_f1,0.5553122881900717
val,after,log_loss,1.0858369117479953
val,after,brier_multiclass,0.563323895837278
val,after,ece_15bin,0.04749917191217203
val,after,top1_prob_mean,0.5502558946609497
val,after,top1_prob_p25,0.4255887567996979
val,after,top1_prob_p50,0.5155900716781616
val,after,top1_prob_p75,0.6549088954925537
val,after,top1_top2_margin_mean,0.2927197217941284
val,after,predictive_entropy_mean,1.085350513458252
val,after,n,1436.0
test,before,accuracy,0.5718290119131044
test,before,balanced_accuracy,0.5717168235341717
test,before,macro_f1,0.568224953148379
test,before,log_loss,1.2786736913711065
test,before,brier_multiclass,0.6016154305416296
test,before,ece_15bin,0.14766346776535566
test,before,top1_prob_mean,0.7151920199394226
test,before,top1_prob_p25,0.5508959889411926
test,before,top1_prob_p50,0.7006030082702637
test,before,top1_prob_p75,0.9018464088439941
test,before,top1_top2_margin_mean,0.5019233822822571
test,before,predictive_entropy_mean,0.6578577160835266
test,before,n,1427.0
test,after,accuracy,0.5718290119131044
test,after,balanced_accuracy,0.5717168235341717
test,after,macro_f1,0.568224953148379
test,after,log_loss,1.0686670050405087
test,after,brier_multiclass,0.5648381235979348
test,after,ece_15bin,0.05823819707888527
test,after,top1_prob_mean,0.5226324796676636
test,after,top1_prob_p25,0.40425191819667816
test,after,top1_prob_p50,0.48720720410346985
test,after,top1_prob_p75,0.6261093318462372
test,after,top1_top2_margin_mean,0.2561388313770294
test,after,predictive_entropy_mean,1.1400868892669678
test,after,n,1427.0
—,—,fitted_temperature,2.4319775104522705
—,—,lbfgs_n_closures,19.0
—,—,final_val_nll,1.0858370065689087
