split,stage,metric,value
train,before,accuracy,0.6929195258889582
train,before,balanced_accuracy,0.6924695084716457
train,before,macro_f1,0.6896692461939679
train,before,log_loss,0.712255586964713
train,before,brier_multiclass,0.4029535074453182
train,before,ece_15bin,0.027560227713823618
train,before,top1_prob_mean,0.6667014360427856
train,before,top1_prob_p25,0.5187216699123383
train,before,top1_prob_p50,0.6442198753356934
train,before,top1_prob_p75,0.8303751647472382
train,before,top1_top2_margin_mean,0.4296596944332123
train,before,predictive_entropy_mean,0.7689043879508972
train,before,n,6412.0
train,after,accuracy,0.6929195258889582
train,after,balanced_accuracy,0.6924695084716457
train,after,macro_f1,0.6896692461939679
train,after,log_loss,0.8465027268387749
train,after,brier_multiclass,0.456386147736407
train,after,ece_15bin,0.180802583740937
train,after,top1_prob_mean,0.5121169686317444
train,after,top1_prob_p25,0.3990977108478546
train,after,top1_prob_p50,0.4945177286863327
train,after,top1_prob_p75,0.6015870124101639
train,after,top1_top2_margin_mean,0.2375883311033249
train,after,predictive_entropy_mean,1.151459813117981
train,after,n,6412.0
val,before,accuracy,0.5229805013927576
val,before,balanced_accuracy,0.5227831563970982
val,before,macro_f1,0.5179432653239842
val,before,log_loss,1.3385209266232165
val,before,brier_multiclass,0.6335337993172663
val,before,ece_15bin,0.13678121110190922
val,before,top1_prob_mean,0.6549985408782959
val,before,top1_prob_p25,0.5074187070131302
val,before,top1_prob_p50,0.6178483963012695
val,before,top1_prob_p75,0.8129995465278625
val,before,top1_top2_margin_mean,0.41088128089904785
val,before,predictive_entropy_mean,0.7877618670463562
val,before,n,1436.0
val,after,accuracy,0.5229805013927576
val,after,balanced_accuracy,0.5227831563970982
val,after,macro_f1,0.5179432653239842
val,after,log_loss,1.1615062866001868
val,after,brier_multiclass,0.5980462925024934
val,after,ece_15bin,0.04859093740623972
val,after,top1_prob_mean,0.5066894292831421
val,after,top1_prob_p25,0.38593003898859024
val,after,top1_prob_p50,0.48237334191799164
val,after,top1_prob_p75,0.5841520726680756
val,after,top1_top2_margin_mean,0.232416033744812
val,after,predictive_entropy_mean,1.1609042882919312
val,after,n,1436.0
test,before,accuracy,0.5101611772950245
test,before,balanced_accuracy,0.5103146676233498
test,before,macro_f1,0.4953595765571975
test,before,log_loss,1.140364368899673
test,before,brier_multiclass,0.61892073526576
test,before,ece_15bin,0.12745487890464072
test,before,top1_prob_mean,0.6259905695915222
test,before,top1_prob_p25,0.4748256504535675
test,before,top1_prob_p50,0.5971656441688538
test,before,top1_prob_p75,0.7777102291584015
test,before,top1_top2_margin_mean,0.37636783719062805
test,before,predictive_entropy_mean,0.8549919128417969
test,before,n,1427.0
test,after,accuracy,0.5101611772950245
test,after,balanced_accuracy,0.5103146676233498
test,after,macro_f1,0.4953595765571975
test,after,log_loss,1.097802792086065
test,after,brier_multiclass,0.5933176864372542
test,after,ece_15bin,0.06457243500552816
test,after,top1_prob_mean,0.4773060381412506
test,after,top1_prob_p25,0.361970454454422
test,after,top1_prob_p50,0.45444223284721375
test,after,top1_prob_p75,0.562489926815033
test,after,top1_top2_margin_mean,0.2015565186738968
test,after,predictive_entropy_mean,1.2237402200698853
test,after,n,1427.0
—,—,fitted_temperature,2.031714916229248
—,—,lbfgs_n_closures,29.0
—,—,final_val_nll,1.161506175994873
