split,stage,metric,value
train,before,accuracy,0.8800686213349969
train,before,balanced_accuracy,0.8800916129054529
train,before,macro_f1,0.8806525547056379
train,before,log_loss,0.32195694359234656
train,before,brier_multiclass,0.17828380236941652
train,before,ece_15bin,0.05219867023745702
train,before,top1_prob_mean,0.8285226821899414
train,before,top1_prob_p25,0.704075962305069
train,before,top1_prob_p50,0.894222617149353
train,before,top1_prob_p75,0.9780350178480148
train,before,top1_top2_margin_mean,0.6876198649406433
train,before,predictive_entropy_mean,0.4264709949493408
train,before,n,6412.0
train,after,accuracy,0.8800686213349969
train,after,balanced_accuracy,0.8800916129054529
train,after,macro_f1,0.8806525547056379
train,after,log_loss,0.6276700217713646
train,after,brier_multiclass,0.31661886038881326
train,after,ece_15bin,0.3040351210416516
train,after,top1_prob_mean,0.5760957598686218
train,after,top1_prob_p25,0.4591920077800751
train,after,top1_prob_p50,0.5617104172706604
train,after,top1_prob_p75,0.6913484185934067
train,after,top1_top2_margin_mean,0.3345012068748474
train,after,predictive_entropy_mean,1.0819287300109863
train,after,n,6412.0
val,before,accuracy,0.5250696378830083
val,before,balanced_accuracy,0.5247335278043511
val,before,macro_f1,0.5262660509193341
val,before,log_loss,1.6859306020616143
val,before,brier_multiclass,0.6992183464729835
val,before,ece_15bin,0.25646870921581233
val,before,top1_prob_mean,0.7791821360588074
val,before,top1_prob_p25,0.6336394399404526
val,before,top1_prob_p50,0.8130361139774323
val,before,top1_prob_p75,0.9505129009485245
val,before,top1_top2_margin_mean,0.6072247624397278
val,before,predictive_entropy_mean,0.539800763130188
val,before,n,1436.0
val,after,accuracy,0.5250696378830083
val,after,balanced_accuracy,0.5247335278043511
val,after,macro_f1,0.5262660509193341
val,after,log_loss,1.1560081236936197
val,after,brier_multiclass,0.5924067163669077
val,after,ece_15bin,0.03909511503070841
val,after,top1_prob_mean,0.5319962501525879
val,after,top1_prob_p25,0.4103844687342644
val,after,top1_prob_p50,0.5044037103652954
val,after,top1_prob_p75,0.6403377503156662
val,after,top1_top2_margin_mean,0.2784399092197418
val,after,predictive_entropy_mean,1.155509114265442
val,after,n,1436.0
test,before,accuracy,0.4940434477925718
test,before,balanced_accuracy,0.4940868485828744
test,before,macro_f1,0.49402196436696766
test,before,log_loss,1.6635080997208298
test,before,brier_multiclass,0.7221434447901421
test,before,ece_15bin,0.2660856716434022
test,before,top1_prob_mean,0.7601292133331299
test,before,top1_prob_p25,0.6053217649459839
test,before,top1_prob_p50,0.7791613340377808
test,before,top1_prob_p75,0.9414140582084656
test,before,top1_top2_margin_mean,0.5783082842826843
test,before,predictive_entropy_mean,0.5809933543205261
test,before,n,1427.0
test,after,accuracy,0.4940434477925718
test,after,balanced_accuracy,0.4940868485828744
test,after,macro_f1,0.49402196436696766
test,after,log_loss,1.1769340646204847
test,after,brier_multiclass,0.6189758455426541
test,after,ece_15bin,0.03702683828264664
test,after,top1_prob_mean,0.510911226272583
test,after,top1_prob_p25,0.39125555753707886
test,after,top1_prob_p50,0.48644134402275085
test,after,top1_prob_p75,0.6029415428638458
test,after,top1_top2_margin_mean,0.2529523968696594
test,after,predictive_entropy_mean,1.195660948753357
test,after,n,1427.0
—,—,fitted_temperature,2.953934907913208
—,—,lbfgs_n_closures,23.0
—,—,final_val_nll,1.1560081243515015
